timestamp,service_type,worker_id,model,AudioDurationSeconds,ChunkAudioSeconds,ChunkCount,ChunkProcessingSeconds,DownloadSeconds,GPUMemoryUsedMB,GPUMemoryUtilizationPercent,GPUPeakMemoryGB,GPUUtilizationPercent,PrepSeconds,RealTimeFactor,RequestRealTimeFactor,RequestTotalSeconds,ThroughputAudioPerSecond,TranscribeSeconds,chunk_index,full_model_name,input_key,total_chunks
2025-12-17 22:10:43.552,chunked,7,nvidia/parakeet-ctc-0.6b,,30,,0.064,,4789.0,0.0,,1.0,,0.002,,,,,6,,input/4m36s.wav,10
2025-12-17 22:10:43.818,chunked,9,nvidia/parakeet-ctc-0.6b,,30,,0.064,,4741.0,10.0,,22.0,,0.002,,,,,8,,input/4m36s.wav,10
2025-12-17 22:10:43.835,chunked,0,nvidia/parakeet-ctc-0.6b,,30,,0.06,,4789.0,10.0,,22.0,,0.002,,,,,4,,input/4m36s.wav,10
2025-12-17 22:10:43.893,chunked,7,nvidia/parakeet-ctc-0.6b,,30,,0.066,,4789.0,10.0,,22.0,,0.002,,,,,7,,input/4m36s.wav,10
2025-12-17 22:10:44.150,chunked,9,nvidia/parakeet-ctc-0.6b,,6.201,,0.057,,4743.0,5.0,,11.0,,0.009,,,,,9,,input/4m36s.wav,10
2025-12-17 22:10:44.150,chunked,9,parakeet-ctc-0.6b,276.2,,10,,0.1,,,1.29,,1.28,,0.017,4.79,57.71,3.41,,nvidia/parakeet-ctc-0.6b,input/4m36s.wav,
2025-12-17 22:10:44.172,chunked,0,nvidia/parakeet-ctc-0.6b,,30,,0.061,,4695.0,5.0,,11.0,,0.002,,,,,5,,input/4m36s.wav,10
2025-12-17 22:10:44.239,chunked,7,nvidia/parakeet-ctc-0.6b,,30,,0.068,,4743.0,11.0,,26.0,,0.002,,,,,8,,input/4m36s.wav,10
2025-12-17 22:10:44.515,chunked,0,nvidia/parakeet-ctc-0.6b,,30,,0.06,,4693.0,1.0,,3.0,,0.002,,,,,6,,input/4m36s.wav,10
2025-12-17 22:10:44.590,chunked,7,nvidia/parakeet-ctc-0.6b,,6.201,,0.068,,4695.0,1.0,,3.0,,0.011,,,,,9,,input/4m36s.wav,10
2025-12-17 22:10:44.590,chunked,7,parakeet-ctc-0.6b,276.2,,10,,0.11,,,1.29,,1.22,,0.017,4.76,58.03,3.44,,nvidia/parakeet-ctc-0.6b,input/4m36s.wav,
2025-12-17 22:10:44.884,chunked,0,nvidia/parakeet-ctc-0.6b,,30,,0.064,,4695.0,0.0,,1.0,,0.002,,,,,7,,input/4m36s.wav,10
2025-12-17 22:10:45.223,chunked,0,nvidia/parakeet-ctc-0.6b,,30,,0.057,,4693.0,5.0,,11.0,,0.002,,,,,8,,input/4m36s.wav,10
2025-12-17 22:10:45.557,chunked,0,nvidia/parakeet-ctc-0.6b,,6.201,,0.056,,4647.0,0.0,,0.0,,0.009,,,,,9,,input/4m36s.wav,10
2025-12-17 22:10:45.557,chunked,0,parakeet-ctc-0.6b,276.2,,10,,0.13,,,1.29,,1.23,,0.017,4.77,57.92,3.42,,nvidia/parakeet-ctc-0.6b,input/4m36s.wav,
2025-12-17 22:10:46.179,chunked,9,nvidia/parakeet-ctc-0.6b,,30,,0.057,,4693.0,0.0,,0.0,,0.002,,,,,0,,input/4m36s.wav,10
2025-12-17 22:10:46.522,chunked,9,nvidia/parakeet-ctc-0.6b,,30,,0.058,,4741.0,0.0,,0.0,,0.002,,,,,1,,input/4m36s.wav,10
2025-12-17 22:10:46.568,chunked,7,nvidia/parakeet-ctc-0.6b,,30,,0.06,,4741.0,0.0,,0.0,,0.002,,,,,0,,input/4m36s.wav,10
2025-12-17 22:10:46.855,chunked,9,nvidia/parakeet-ctc-0.6b,,30,,0.06,,4741.0,1.0,,3.0,,0.002,,,,,2,,input/4m36s.wav,10
2025-12-17 22:10:46.896,chunked,7,nvidia/parakeet-ctc-0.6b,,30,,0.057,,4741.0,1.0,,3.0,,0.002,,,,,1,,input/4m36s.wav,10
2025-12-17 22:10:47.210,chunked,9,nvidia/parakeet-ctc-0.6b,,30,,0.059,,4741.0,10.0,,22.0,,0.002,,,,,3,,input/4m36s.wav,10
2025-12-17 22:10:47.228,chunked,7,nvidia/parakeet-ctc-0.6b,,30,,0.058,,4741.0,10.0,,22.0,,0.002,,,,,2,,input/4m36s.wav,10
2025-12-17 22:10:47.556,chunked,9,nvidia/parakeet-ctc-0.6b,,30,,0.069,,4789.0,0.0,,0.0,,0.002,,,,,4,,input/4m36s.wav,10
2025-12-17 22:10:47.577,chunked,7,nvidia/parakeet-ctc-0.6b,,30,,0.073,,4789.0,0.0,,0.0,,0.002,,,,,3,,input/4m36s.wav,10
2025-12-17 22:10:47.579,chunked,0,nvidia/parakeet-ctc-0.6b,,30,,0.072,,4789.0,0.0,,0.0,,0.002,,,,,0,,input/4m36s.wav,10
2025-12-17 22:10:47.896,chunked,9,nvidia/parakeet-ctc-0.6b,,30,,0.063,,4789.0,0.0,,0.0,,0.002,,,,,5,,input/4m36s.wav,10
2025-12-17 22:10:47.919,chunked,7,nvidia/parakeet-ctc-0.6b,,30,,0.064,,4789.0,0.0,,0.0,,0.002,,,,,4,,input/4m36s.wav,10
2025-12-17 22:10:47.920,chunked,0,nvidia/parakeet-ctc-0.6b,,30,,0.071,,4789.0,0.0,,0.0,,0.002,,,,,1,,input/4m36s.wav,10
2025-12-17 22:10:48.232,chunked,9,nvidia/parakeet-ctc-0.6b,,30,,0.06,,4789.0,6.0,,14.0,,0.002,,,,,6,,input/4m36s.wav,10
2025-12-17 22:10:48.267,chunked,0,nvidia/parakeet-ctc-0.6b,,30,,0.069,,4789.0,6.0,,14.0,,0.002,,,,,2,,input/4m36s.wav,10
2025-12-17 22:10:48.269,chunked,7,nvidia/parakeet-ctc-0.6b,,30,,0.067,,4789.0,6.0,,14.0,,0.002,,,,,5,,input/4m36s.wav,10
2025-12-17 22:10:48.571,chunked,9,nvidia/parakeet-ctc-0.6b,,30,,0.06,,4789.0,9.0,,19.0,,0.002,,,,,7,,input/4m36s.wav,10
2025-12-17 22:10:48.632,chunked,0,nvidia/parakeet-ctc-0.6b,,30,,0.064,,4789.0,15.0,,33.0,,0.002,,,,,3,,input/4m36s.wav,10
2025-12-17 22:10:48.648,chunked,7,nvidia/parakeet-ctc-0.6b,,30,,0.068,,4789.0,15.0,,33.0,,0.002,,,,,6,,input/4m36s.wav,10
2025-12-17 22:10:48.911,chunked,9,nvidia/parakeet-ctc-0.6b,,30,,0.061,,4739.0,0.0,,0.0,,0.002,,,,,8,,input/4m36s.wav,10
2025-12-17 22:10:48.981,chunked,7,nvidia/parakeet-ctc-0.6b,,30,,0.06,,4789.0,0.0,,0.0,,0.002,,,,,7,,input/4m36s.wav,10
2025-12-17 22:10:48.983,chunked,0,nvidia/parakeet-ctc-0.6b,,30,,0.075,,4789.0,0.0,,0.0,,0.003,,,,,4,,input/4m36s.wav,10
2025-12-17 22:10:49.253,chunked,9,nvidia/parakeet-ctc-0.6b,,6.201,,0.055,,4647.0,1.0,,2.0,,0.009,,,,,9,,input/4m36s.wav,10
2025-12-17 22:10:49.254,chunked,9,parakeet-ctc-0.6b,276.2,,10,,0.11,,,1.29,,1.24,,0.017,4.76,58.04,3.42,,nvidia/parakeet-ctc-0.6b,input/4m36s.wav,
2025-12-17 22:10:49.328,chunked,7,nvidia/parakeet-ctc-0.6b,,30,,0.067,,4743.0,1.0,,2.0,,0.002,,,,,8,,input/4m36s.wav,10
2025-12-17 22:10:49.328,chunked,0,nvidia/parakeet-ctc-0.6b,,30,,0.076,,4743.0,1.0,,2.0,,0.003,,,,,5,,input/4m36s.wav,10
2025-12-17 22:10:49.676,chunked,0,nvidia/parakeet-ctc-0.6b,,30,,0.075,,4695.0,1.0,,2.0,,0.002,,,,,6,,input/4m36s.wav,10
